,school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain,state_code,date_created,num_students_day,total_students,total_days,daily_attendence,individ_attendence,num_of_consistent_stud
0,2031002-mz2,food_sharing_tool,,2018-08-16 13:41:22,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
1,2031002-mz2,food_sharing_tool,,2018-08-16 13:46:36,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
2,2031002-mz2,food_sharing_tool,,2018-08-16 14:02:38,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
3,2031002-mz2,food_sharing_tool,,2018-08-16 14:04:07,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
4,2031002-mz2,food_sharing_tool,,2018-08-16 14:14:41,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
5,2031002-mz2,food_sharing_tool,,2018-08-16 14:15:14,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
6,2031002-mz2,food_sharing_tool,,2018-08-16 14:20:28,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
7,2031002-mz2,food_sharing_tool,,2018-08-16 14:27:25,46,bqg9b4md2hazluvwtn6mhcj63sxs0afr,2402,m,mz,2018-08-16,23,24,4,0.9583333333333334,0.75,21
8,2031002-mz2,food_sharing_tool,,2018-10-11 13:31:33,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
9,2031002-mz2,food_sharing_tool,,2018-10-11 13:34:42,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
10,2031002-mz2,food_sharing_tool,,2018-10-11 13:35:36,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
11,2031002-mz2,food_sharing_tool,,2018-10-11 13:37:24,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
12,2031002-mz2,food_sharing_tool,,2018-10-11 13:37:50,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
13,2031002-mz2,food_sharing_tool,,2018-10-11 13:39:34,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
14,2031002-mz2,food_sharing_tool,,2018-10-11 13:39:53,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
15,2031002-mz2,food_sharing_tool,,2018-10-11 13:39:55,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
16,2031002-mz2,food_sharing_tool,,2018-10-11 13:39:56,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
17,2031002-mz2,food_sharing_tool,,2018-10-11 13:40:11,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
18,2031002-mz2,food_sharing_tool,,2018-10-11 13:44:08,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
19,2031002-mz2,food_sharing_tool,,2018-10-11 13:44:23,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
20,2031002-mz2,food_sharing_tool,,2018-10-11 13:45:13,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
21,2031002-mz2,food_sharing_tool,,2018-10-11 13:45:41,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
22,2031002-mz2,food_sharing_tool,,2018-10-11 13:48:33,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
23,2031002-mz2,food_sharing_tool,,2018-10-11 13:48:34,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
24,2031002-mz2,food_sharing_tool,,2018-10-11 13:49:17,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
25,2031002-mz2,food_sharing_tool,,2018-10-11 13:50:34,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
26,2031002-mz2,food_sharing_tool,,2018-10-11 13:50:39,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
27,2031002-mz2,food_sharing_tool,,2018-10-11 13:50:43,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
28,2031002-mz2,food_sharing_tool,,2018-10-11 13:50:51,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
29,2031002-mz2,food_sharing_tool,,2018-10-11 13:50:57,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
30,2031002-mz2,food_sharing_tool,,2018-10-11 13:51:01,19,rkbabz09m5toq8g5sst4mm11icqaxg4l,2402,m,mz,2018-10-11,20,24,4,0.8333333333333334,0.75,21
